titulo,distribuidor​,fecha_lanzamiento,"ventas_millones"
Borderlands 2,2K Games,18/09/2012,"26.00"
Call of Duty: Modern Warfare,Activision,25/10/2019,"30.00"
Call of Duty: Modern Warfare 3,Activision,8/11/2011,"26.50"
Call of Duty: Black Ops,Activision,9/11/2010,"26.20"
Call of Duty: Black Ops II,Activision,12/11/2012,"24.20"
Elden Ring,Bandai Namco,25/02/2022,"25.00"
The Elder Scrolls V: Skyrim,Bethesda Softworks,11/11/2011,"60.00"
Diablo III,Blizzard Entertainment,16/05/2012,"30.00"
Monster Hunter: World,Capcom,18/01/2018,"25.00"
The Witcher 3,CD Projekt,19/05/2015,"50.00"
Cyberpunk 2077,CD Projekt,10/12/2020,"30.00"
Stardew Valley,ConcernedApe,26/02/2016,"41.00"
Human: Fall Flat,Curve Digital,22/07/2016,"30.00"
FIFA 18,Electronic Arts,29/09/2017,"24.00"
PUBG: Battlegrounds,Krafton,20/12/2017,"75.00"
Minecraft,Mojang Studios,18/11/2011,"350.00"
Pac-Man,Namco,1/07/1980,"41.49"
Wii Sports,Nintendo,19/11/2006,"82.90"
Mario Kart 8 / Deluxe,Nintendo,29/05/2014,"75.81"
Super Mario Bros.,Nintendo,13/09/1985,"58.00"
Pokémon Rojo / Verde / Azul / Amarillo,Nintendo,27/02/1996,"47.52"
Animal Crossing: New Horizons,Nintendo,20/03/2020,"47.44"
Wii Fit / Plus,Nintendo,1/12/2007,"43.82"
Tetris (Nintendo),Nintendo,14/06/1989,"43.00"
Mario Kart Wii,Nintendo,10/04/2008,"37.38"
Super Smash Bros. Ultimate,Nintendo,7/12/2018,"35.88"
The Legend of Zelda: Breath of the Wild,Nintendo,3/03/2017,"33.30"
Wii Sports Resort,Nintendo,25/06/2009,"33.14"
New Super Mario Bros.,Nintendo,15/05/2006,"30.80"
New Super Mario Bros. Wii,Nintendo,11/11/2009,"30.32"
Pokémon Oro / Plata / Cristal,Nintendo,21/11/1999,"29.49"
Super Mario Odyssey,Nintendo,27/10/2017,"29.04"
Duck Hunt,Nintendo,21/04/1984,"28.30"
Wii Play,Nintendo,2/12/2006,"28.02"
Super Mario World,Nintendo,21/11/1990,"26.60"
Pokémon Espada y Escudo,Nintendo,15/09/2019,"26.17"
Pokémon Sol / Luna / Ultrasol / Ultraluna,Nintendo,18/11/2016,"25.37"
Pokémon Diamante / Perla / Platino,Nintendo,28/09/2006,"24.73"
Super Mario Bros. 3,Nintendo,23/10/1988,"24.40"
Nintendogs,Nintendo,21/04/2005,"23.96"
Mario Kart DS,Nintendo,14/11/2005,"23.60"
Terraria,Re-Logic / 505 Games,16/05/2011,"58.70"
Grand Theft Auto V,Rockstar Games,17/09/2013,"210.00"
Red Dead Redemption 2,Rockstar Games,26/10/2018,"70.00"
Grand Theft Auto: San Andreas,Rockstar Games,26/10/2004,"27.50"
Grand Theft Auto IV,Rockstar Games,29/04/2008,"25.00"
Sonic the Hedgehog,Sega,23/06/1991,"23.48"
The Walking Dead,Telltale Games,24/04/2012,"28.00"
Hogwarts Legacy,Warner Bros. Games,10/02/2023,"30.00"
Kinect Adventures!,Xbox Game Studios,4/11/2010,"24.00"